  0.0000    0   0.4660   0.0000 0.000000    8.197500
  0.0000    1   0.7728   0.0000 0.000000    7.338930
  0.0000    2   1.1000   0.0000 0.000000    6.178710
  0.0000    3   1.6600   0.0000 0.000000    4.634560
  0.0000    4   5.4600   0.0000 0.000000    2.624210
  0.0000    5  10.1200   0.0000 0.000000    1.917530
  0.0000    6  20.1000   0.0000 0.000000    1.369060
  0.0000    7  30.4000   0.0000 0.000000    1.132800
  0.0000    8  49.3000   0.0000 0.000000    0.782623
  0.1250    0  -0.3772   0.1000 -2.634253   -9.427703
  0.1250    1   0.3169   0.7421 -6.272725    3.207468
  0.1250    2   0.8560   0.7181 -3.705501    4.831489
  0.1250    3   1.5489   0.5671 -1.760824    4.322223
  0.1250    4   5.4497   0.3278 -0.165439    2.619238
  0.1250    5  10.1170   0.2397 -0.048180    1.916959
  0.1250    6  20.0992   0.1711 -0.012214    1.369008
  0.1250    7  30.3997   0.1416 -0.005340    1.132788
  0.1250    8  49.2999   0.0978 -0.002030    0.782621
  0.2500    0   0.3890  -0.2558 4.375495    6.943771
  0.2500    1  -0.5031   0.7066 -5.566607   -3.454607
  0.2500    2   0.2454   1.1343 -5.638666    1.632715
  0.2500    3   1.2268   1.0564 -3.341647    3.393532
  0.2500    4   5.4187   0.6544 -0.330340    2.604334
  0.2500    5  10.1080   0.4792 -0.096336    1.915248
  0.2500    6  20.0969   0.3422 -0.024428    1.368852
  0.2500    7  30.3987   0.2832 -0.010679    1.132750
  0.2500    8  49.2995   0.1957 -0.004061    0.782615
  0.3750    0  -0.2789   0.2749 -7.120806   -6.677589
  0.3750    1  -0.8934   0.0344 -0.236699   -6.339219
  0.3750    2  -0.4645   1.1180 -5.329847   -1.804291
  0.3750    3   0.7285   1.3928 -4.537030    1.886398
  0.3750    4   5.3671   0.9785 -0.494164    2.579530
  0.3750    5  10.0929   0.7184 -0.144445    1.912396
  0.3750    6  20.0931   0.5133 -0.036640    1.368592
  0.3750    7  30.3970   0.4248 -0.016019    1.132688
  0.3750    8  49.2989   0.2935 -0.006091    0.782605
  0.5000    0   0.1841  -0.4260 7.429588    3.555974
  0.5000    1  -0.5537  -0.6657 5.306662   -3.863221
  0.5000    2  -1.0207   0.7207 -3.327546   -4.309292
  0.5000    3   0.1171   1.5095 -5.103754   -0.090467
  0.5000    4   5.2952   1.2989 -0.656375    2.544880
  0.5000    5  10.0718   0.9572 -0.192483    1.908404
  0.5000    6  20.0878   0.6844 -0.048849    1.368228
  0.5000    7  30.3947   0.5664 -0.021358    1.132601
  0.5000    8  49.2980   0.3913 -0.008121    0.782591
  0.6250    0  -0.1056   0.3798 -9.500107   -2.003825
  0.6250    1   0.2633  -0.7609 6.500288    2.756220
  0.6250    2  -1.2620   0.0983 -0.441665   -5.351334
  0.6250    3  -0.5129   1.3612 -4.789306   -2.289847
  0.6250    4   5.2031   1.6144 -0.816434    2.500462
  0.6250    5  10.0448   1.1955 -0.240425    1.903273
  0.6250    6  20.0809   0.8554 -0.061055    1.367760
  0.6250    7  30.3917   0.7079 -0.026696    1.132489
  0.6250    8  49.2968   0.4891 -0.010152    0.782573
  0.7500    0  -0.0791  -0.4550 8.229877   -0.953895
  0.7500    1   0.7711  -0.0521 0.514345    7.320559
  0.7500    2  -1.1267  -0.5536 2.557681   -4.775726
  0.7500    3  -1.0395   0.9453 -3.443540   -4.269376
  0.7500    4   5.0912   1.9237 -0.973801    2.446373
  0.7500    5  10.0117   1.4330 -0.288249    1.897005
  0.7500    6  20.0725   1.0263 -0.073258    1.367188
  0.7500    7  30.3880   0.8495 -0.032034    1.132352
  0.7500    8  49.2954   0.5869 -0.012182    0.782550
  0.8750    0   0.0999   0.3853 -9.086358    3.196188
  0.8750    1   0.3693   0.7195 -6.013548    3.640675
  0.8750    2  -0.6478  -1.0347 4.907078   -2.653891
  0.8750    3  -1.3384   0.3251 -1.210517   -5.454213
  0.8750    4   4.9598   2.2256 -1.127939    2.382739
  0.8750    5   9.9727   1.6697 -0.335931    1.889602
  0.8750    6  20.0626   1.1972 -0.085455    1.366513
  0.8750    7  30.3836   0.9910 -0.037372    1.132191
  0.8750    8  49.2938   0.6848 -0.014212    0.782524
  1.0000    0  -0.3128  -0.3355 6.511075   -5.229803
  1.0000    1  -0.4493   0.7438 -5.795655   -3.028587
  1.0000    2   0.0424  -1.1711 5.781283    0.620988
  1.0000    3  -1.3284  -0.3695 1.365166   -5.411724
  1.0000    4   4.8093   2.5190 -1.278309    2.309704
  1.0000    5   9.9278   1.9054 -0.383446    1.881066
  1.0000    6  20.0512   1.3680 -0.097647    1.365733
  1.0000    7  30.3786   1.1325 -0.042708    1.132004
  1.0000    8  49.2919   0.7826 -0.016243    0.782494
  1.1250    0   0.2843   0.2853 -6.034587    7.380739
  1.1250    1  -0.8880   0.1029 -0.708821   -6.304338
  1.1250    2   0.7114  -0.8719 4.482898    4.059474
  1.1250    3  -1.0128  -0.9799 3.550298   -4.161244
  1.1250    4   4.6404   2.8027 -1.424374    2.227443
  1.1250    5   9.8769   2.1399 -0.430770    1.871400
